Company,Date,Time,Rocket,Mission,RocketStatus,Price,MissionStatus,Location,site,State,Country
Martin Marietta,12/01/1997,09:27:00,Space Shuttle Atlantis,STS-81,Retired,450,Success,LC-39B, Kennedy Space Center, Florida, USA
NASA,17/01/1997,16:28:00,Delta II 7925,GPS IIR-1,Retired,,Failure,SLC-17A, Cape Canaveral AFS, Florida, USA
RVSN USSR,11/02/1997,08:55:00,Space Shuttle Discovery,STS-82,Retired,450,Success,LC-39A, Kennedy Space Center, Florida, USA
Arianespace,17/02/1997,01:42:00,Atlas IIAS,JCSAT-4,Retired,,Success,SLC-36B, Cape Canaveral AFS, Florida, USA
RVSN USSR,23/02/1997,20:20:00,Titan IV(402)B,DSP,Retired,,Success,SLC-40, Cape Canaveral AFS, Florida, USA
ISAS,08/03/1997,06:01:00,Atlas IIA,Tempo 2,Retired,,Success,SLC-36A, Cape Canaveral AFS, Florida, USA
Boeing,04/04/1997,16:47:00,Titan II(23)G,USA-131,Retired,35,Success,SLC-4W, Vandenberg AFB, California, USA
RVSN USSR,04/04/1997,19:20:00,Space Shuttle Columbia,STS-83,Retired,450,Success,LC-39A, Kennedy Space Center, Florida, USA
Boeing,25/04/1997,05:49:00,Atlas I,GOES-K,Retired,,Success,SLC-36B, Cape Canaveral AFS, Florida, USA
CASC,05/05/1997,14:55:00,Delta II 7920-10C,MS-1,Retired,,Success,SLC-2W, Vandenberg AFB, California, USA
RVSN USSR,15/05/1997,08:07:00,Space Shuttle Atlantis,STS-84,Retired,450,Success,LC-39A, Kennedy Space Center, Florida, USA
MHI,20/05/1997,22:39:00,Delta II 7925,Telenor Thor II,Retired,,Success,SLC-17A, Cape Canaveral AFS, Florida, USA
MHI,01/07/1997,18:02:00,Space Shuttle Columbia,STS-94,Retired,450,Success,LC-39A, Kennedy Space Center, Florida, USA
Boeing,09/07/1997,13:04:00,Delta II 7920-10C,MS-2,Retired,,Success,SLC-2W, Vandenberg AFB, California, USA
Arianespace,23/07/1997,03:43:00,Delta II 7925,USA-132 (GPS IIR-2),Retired,,Success,SLC-17A, Cape Canaveral AFS, Florida, USA
RVSN USSR,28/07/1997,01:15:00,Atlas IIAS,Superbird C,Retired,,Success,SLC-36B, Cape Canaveral AFS, Florida, USA
RVSN USSR,07/08/1997,14:41:00,Space Shuttle Discovery,STS-85,Retired,450,Success,LC-39A, Kennedy Space Center, Florida, USA
NASA,21/08/1997,00:38:00,Delta II 7920-10C,MS-3,Retired,,Success,SLC-2W, Vandenberg AFB, California, USA
Martin Marietta,23/08/1997,06:51:00,Athena I,Lewis,Retired,,Success,SLC-6, Vandenberg AFB, California, USA
RVSN USSR,25/08/1997,14:39:00,Delta II 7920-8,Advanced Composition Explorer,Retired,,Success,SLC-17A, Cape Canaveral AFS, Florida, USA
RVSN USSR,29/08/1997,15:02:00,Pegasus XL,FORTE,Active,40,Success,Stargazer, Vandenberg AFB, California, USA
Boeing,04/09/1997,12:03:00,Atlas IIAS,GE-3,Retired,,Success,SLC-36A, Cape Canaveral AFS, Florida, USA
RVSN USSR,25/09/1997,14:34:00,Space Shuttle Atlantis,STS-86,Retired,450,Success,LC-39A, Kennedy Space Center, Florida, USA
IAI,27/09/1997,01:23:00,Delta II 7920-10C,MS-4,Retired,,Success,SLC-2W, Vandenberg AFB, California, USA
Northrop,05/10/1997,21:01:00,Atlas IIAS,Echostar 3,Retired,,Success,SLC-36B, Cape Canaveral AFS, Florida, USA
RVSN USSR,15/10/1997,08:43:00,Titan IV(401)B,Cassini???Huygens,Retired,,Success,SLC-40, Cape Canaveral AFS, Florida, USA
CASC,22/10/1997,13:13:00,Pegasus XL,STEP-4,Active,40,Success,Stargazer, Wallops Flight Facility, Virginia, USA
Lockheed,24/10/1997,02:32:00,Titan IV(403)A,NROL-3 (Lacrosse),Retired,,Success,SLC-4E, Vandenberg AFB, California, USA
Boeing,25/10/1997,00:46:00,Atlas IIA,DSCS IIIB-13,Retired,,Success,SLC-36A, Cape Canaveral AFS, Florida, USA
RVSN USSR,06/11/1997,00:30:00,Delta II 7925,USA-134 (GPS IIA-19),Retired,,Success,SLC-17A, Cape Canaveral AFS, Florida, USA
NASA,08/11/1997,02:05:00,Titan IV(401)A,NROL-4 (Trumpet),Retired,,Success,SLC-41, Cape Canaveral AFS, Florida, USA
RVSN USSR,09/11/1997,01:34:00,Delta II 7920-10C,MS-5,Retired,,Success,SLC-2W, Vandenberg AFB, California, USA
RVSN USSR,19/11/1997,19:46:00,Space Shuttle Columbia,STS-87,Retired,450,Success,LC-39B, Kennedy Space Center, Florida, USA
RVSN USSR,08/12/1997,23:52:00,Atlas IIAS,Galaxy 8i,Retired,,Success,SLC-36B, Cape Canaveral AFS, Florida, USA
RVSN USSR,20/12/1997,13:16:00,Delta II 7920-10C,MS-6,Retired,,Success,SLC-2W, Vandenberg AFB, California, USA
Boeing,23/12/1997,19:11:00,Pegasus XL/HAPS,Orbcomm A1-A8,Active,40,Success,Stargazer, Wallops Flight Facility, Virginia, USA
Martin Marietta,07/01/1998,02:28:00,Athena II,Lunar Prospector,Retired,,Success,SLC-46, Cape Canaveral AFS, Florida, USA
Boeing,10/01/1998,00:32:00,Delta II 7925,Skynet 4D,Retired,,Success,SLC-17B, Cape Canaveral AFS, Florida, USA
RVSN USSR,22/01/1998,02:48:00,Space Shuttle Endeavour,STS-89,Retired,450,Success,LC-39A, Kennedy Space Center, Florida, USA
RVSN USSR,29/01/1998,18:37:00,Atlas IIA,NROL-5/SDS,Retired,,Success,SLC-36A, Cape Canaveral AFS, Florida, USA
Martin Marietta,10/02/1998,13:20:00,Minotaur C (Taurus),GFO & Orbcomm 11 and 12,Active,45,Success,SLC-576E, Vandenberg AFB, California, USA
RVSN USSR,14/02/1998,14:24:00,Delta II 7420-10C,Globalstar-1,Retired,,Success,SLC-17A, Cape Canaveral AFS, Florida, USA
CASC,18/02/1998,13:58:00,Delta II 7920-10C,MS-7,Retired,,Success,SLC-2W, Vandenberg AFB, California, USA
